Type,Slot,Des,Val
P,0,Silane,0
P,1,He (SiO2),0
P,2,Dry Air,0
P,3,N2,4500
P,4,H2O Vap,0
P,5,TTIP,0.4
P,6,He (TiO2),20000
P,7,,
P,8,,
P,9,,
P,10,,
P,11,Bottom Pressure,0
P,12,,
P,13,RF,100
P,14,,
P,15,,
P,16,,
P,17,,
P,18,,
P,19,,
P,20,,
M,0,Speed,50
M,1,Swipes,5
M,2,Start,300
M,3,Stop,400
M,4,,
