Type,Slot,Des,Val
P,0,1% SiH4 (A),1300.0
P,1,He (A),6000.0
P,2,CDA (A),6000.0
P,3,N2 (A),5000.0
P,4,H2O (A),4.0
P,5,RF (A),100.0
P,6,SiO2 (A) Pressure,0.0
P,7,1% SiH4 (B),0.0
P,8,He (B),0.0
P,9,CDA (B),0.0
P,10,N2 (B),0.0
P,11,H2O (B),0.0
P,12,RF (B),0.0
P,13,SiO2 (B) Pressure,0.0
P,14,Unused,0.0
P,15,Bottom Pressure,2100.0
M,0,speed,85
M,1,swipes,18
M,2,start,250
M,3,stop,1350
